"","RecordType","Latitude","Longitude","ZIP","VIN","MAKE","MODEL","BODY","YEAR","SELLER","CITY","COUNTYNUM","WGT","STATE","MON","NewUsed","RecodedType","Geography","NewZips","CarCount","Dealer"
"34","CarSale",21.45,-157.85,96744,"19XFB2F8XCE355444","HOND","CIVIC EX","4D",2012,"AUTONATION HONDA ROSEVILLE","KANEOHE",NA,"P","HI",201505,"Used",2,0,96744,1,NA
"2268","CarSale",32.72,-117.17,92101,"19XFB2F8XFE264906","HOND","CIVIC EX","4D",2015,"ELK GROVE HONDA","SAN DIEGO",73,"P","CA",201509,"New",1,0,92101,1,NA
"3324","CarSale",32.96,-117.2,92130,"2HKRM4H53FH643781","HOND","CR-V EX","UT",2015,"ELK GROVE HONDA","SAN DIEGO",73,"P","CA",201505,"New",1,0,92130,1,NA
"3597","CarSale",33.05,-117.25,92024,"3CZRU6H52GM709593","HOND","HR-V EX","UT",2016,"AUTONATION HONDA ROSEVILLE","ENCINITAS",73,"P","CA",201507,"New",1,0,92024,1,NA
"4435","CarSale",33.41,-117.31,92028,"3HGGK5H5XFM763740","HOND","FIT LX","5D",2015,"ELK GROVE HONDA","FALLBROOK",73,"P","CA",201503,"New",1,0,92028,1,NA
"5138","CarSale",33.63,-117.4,92530,"5FNRL38719B048381","HOND","ODYSSEY EXL","VN",2009,"AUTONATION HONDA ROSEVILLE","LAKE ELSINORE",65,"P","CA",201510,"Used",2,0,92530,1,NA
"7834","CarSale",33.81,-117.83,92867,"1HGCR2F33FA165481","HOND","ACCORD LX","4D",2015,"ELK GROVE HONDA","ORANGE",59,"P","CA",201508,"New",1,0,92867,1,NA
"7863","CarSale",33.82,-118.26,90745,"2HKRM4H38FH614842","HOND","CR-V LX","UT",2015,"AUTONATION HONDA ROSEVILLE","CARSON",37,"P","CA",201503,"New",1,0,90745,1,NA
"8209","CarSale",33.83,-118.31,90501,"5J6RM4H95FL089362","HOND","CR-V TOUR","UT",2015,"ELK GROVE HONDA","TORRANCE",37,"P","CA",201511,"New",1,0,90501,1,NA
"9453","CarSale",33.93,-117.88,92821,"1HGCR2F31FA172252","HOND","ACCORD LX","4D",2015,"AUTONATION HONDA ROSEVILLE","BREA",59,"P","CA",201506,"New",1,0,92821,1,NA
"9514","CarSale",33.94,-118.33,90303,"1HGCP2F41AA109661","HOND","ACCORD LX-P","4D",2010,"AUTONATION HONDA ROSEVILLE","INGLEWOOD",37,"P","CA",201504,"Used",2,0,90303,1,NA
"27158","CarSale",34.03,-118.47,90404,"19XFB2E57FE042315","HOND","CIVIC LX","4D",2015,"AUTONATION HONDA ROSEVILLE","SANTA MONICA",37,"P","CA",201512,"New",1,0,90404,1,NA
"27196","CarSale",34.03,-118.4,90034,"19XFB2F7XFE283009","HOND","CIVIC SE","CP",2015,"ELK GROVE HONDA","LOS ANGELES",37,"P","CA",201509,"New",1,0,90034,1,NA
"27375","CarSale",34.05,-118.45,90025,"5FNRL5H63FB122656","HOND","ODYSSEY EXL","VN",2015,"AUTONATION HONDA ROSEVILLE","LOS ANGELES",37,"P","CA",201508,"New",1,0,90025,1,NA
"27451","CarSale",34.05,-118.26,90017,"JHMZE2H74ES001507","HOND","INSIGHT EX","5D",2014,"AUTONATION HONDA ROSEVILLE","LOS ANGELES",37,"P","CA",201508,"New",1,0,90017,1,NA
"27824","CarSale",34.06,-117.67,91762,"1HGCR2F70FA180278","HOND","ACCORD EX","4D",2015,"AUTONATION HONDA ROSEVILLE","ONTARIO",71,"P","CA",201509,"New",1,0,91762,1,NA
"28349","CarSale",34.08,-117.74,91767,"JHMCR5F70EC000136","HOND","ACCORD PLUG","4D",2014,"ELK GROVE HONDA","POMONA",37,"P","CA",201506,"Used",2,0,91767,1,NA
"29555","CarSale",34.17,-118.95,91320,"1HGCR3F88FA032216","HOND","ACCORD EX-L","4D",2015,"AUTONATION HONDA ROSEVILLE","NEWBURY PARK",111,"P","CA",201507,"New",1,0,91320,1,NA
"31688","CarSale",34.39,-117.13,92308,"2HKRM3H71FH524090","HOND","CR-V EX-L","UT",2015,"AUTONATION HONDA ROSEVILLE","APPLE VALLEY",71,"P","CA",201505,"New",1,0,92308,1,NA
"31789","CarSale",34.42,-119.71,93101,"1HGCR2F7XFA134585","HOND","ACCORD EX","4D",2015,"AUTONATION HONDA ROSEVILLE","SANTA BARBARA",83,"P","CA",201506,"New",1,0,93101,1,NA
"32188","CarSale",34.5,-120.12,93117,"19XFB2F53FE271475","HOND","CIVIC LX","4D",2015,"AUTONATION HONDA ROSEVILLE","GOLETA",83,"P","CA",201508,"New",1,0,93117,1,NA
"32399","CarSale",34.6,-118.22,93551,"19XFB2F97FE218958","HOND","CIVIC EX-L","4D",2015,"AUTONATION HONDA ROSEVILLE","PALMDALE",37,"P","CA",201502,"New",1,0,93551,1,NA
